Canonical_Smiles,Inhibition 1,Inhibition 2,Inhibition 3
CCCCCCCC/C=C\CCCCCCCCOCCO,29.7846,18.9662,29.366
CN(C)C.Cl,5.9056,0.5453,5.2614
C=CC(C)CCCC(C)(C)O,7.4136,2.1202,2.6149
NNCCc1ccccc1.O=S(=O)(O)O,52.971,31.3852,53.4829
Clc1nc2ccccc2nc1Cl,6.0549,9.6567,7.4291
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,28.3384,32.8509,3.6927
Cc1ccc(N=C=O)cc1N=C=O,54.2346,47.5854,51.0358
CC(C)=CC=O,0.7927,3.9972,1.5301
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,18.1536,6.05,11.6125
CCOC(=O)CBr,0.7739,0.3533,0.491
Cc1cccc(N)c1C,15.3469,8.1478,2.3025
C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C,92.3412,86.0345,68.7067
CCCCCCCCCCCCc1ccccc1O,15.4008,3.9859,10.1139
Clc1ccc(C(Cl)(Cl)Cl)cc1Cl,2.5228,1.0413,5.5193
Br.Nc1nc(-c2ccccc2)cs1.O,69.3772,54.2666,32.4462
C=CCc1cc(OC)c2c(c1)OCO2,64.5984,48.9492,44.0554
C=CCOC(=O)CCCCCCCC,1.9652,1.8786,3.0865
CCCCCCCCCOCC1CO1,3.3597,10.3394,7.8055
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,51.8684,36.0247,41.8488
C=CC(=O)OCC(C)C,1.5997,0.3785,1.183
O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,21.1635,21.9212,21.9676
CN(C)c1ccc(N)cc1,28.7586,17.6822,22.6849
CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,15.8613,11.7989,16.2931
CC(=O)O.O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,26.6429,18.1664,15.6524
COCCC#N,0.026,9.2145,5.9083
Cc1cccc(N)c1.Cl,80.8069,67.6157,32.4007
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],13.7926,1.9428,1.1572
CCCCCCCC/C=C\CCCCCCCC(=O)OCCOC(=O)CCCCCCC/C=C\CCCCCCCC,36.5235,55.1237,27.6287
Cc1cc(C)cc(N)c1,62.6383,61.2354,32.9844
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,68.7369,52.7487,48.0475
CCN(CC)c1cccc(O)c1,23.3797,7.6852,5.0502
CCOP(=O)(OCC)SCCSCC,4.3792,7.3606,3.6016
[Ag+].[C-]#N.[C-]#N.[K+],12.3323,20.8278,80.5367
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,5.7662,0.8625,19.2371
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,27.2817,14.8291,23.0269
O.O.O.O.O.O.[Cl-].[Cl-].[Mg+2],1.9669,1.9759,0.1665
OC[C@H](Cc1cccc(O)c1)[C@H](CO)Cc1cccc(O)c1,32.1401,21.1194,25.9162
CCCCCCCCCCCCC1CO1,0.1125,26.9211,36.982
COc1cccc2sc(N)nc12,46.1032,22.8614,55.8693
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,2.1048,3.7455,0.2487
COc1cc2c(cc1N)oc1ccccc12,54.957,45.5835,46.7696
CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Zn+2],7.4084,4.2664,4.5076
O=NN1CCCCC1,1.6637,3.1183,0.8733
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,43.6822,43.3756,39.3397
S=C(Nc1ccccc1)Nc1ccccc1,27.0037,15.9866,10.3709
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,54.0022,43.0328,34.3953
O=C/C=C/c1ccccc1,11.3566,2.1004,0.5068
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,74.5619,54.5392,58.6871
NC1CCC(CC2CCC(N)CC2)CC1,25.0624,5.1128,5.7591
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,8.9675,4.0942,3.3586
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],48.2306,31.8951,27.5695
Oc1cccc(Nc2ccccc2)c1,28.6076,18.8897,11.2206
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,42.2311,31.8217,36.1514
O=C(O)c1cc(Cl)ccc1Cl,2.0964,4.435,8.1276
S=C=Nc1cccc2ccccc12,51.0733,30.8718,24.4637
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,26.174,8.5849,14.0542
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,6.7019,15.6265,14.4082
OCC(Cl)CCl,2.0088,0.3093,5.0707
Cc1cc(Nc2ccc(O)cc2)ccc1N,47.6757,42.7753,39.7546
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],27.067,23.039,22.4257
