Canonical_Smiles,Inhibition
C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,40.0
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,91.0
C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,47.0
C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,56.0
C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,71.0
C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,100.0
C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,88.0
COc1cc(OC)c2c(=O)cc(-c3cc(C)c(OC[C@H](O)CN4CCN(C)CC4)c(C)c3)oc2c1,9.5
CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl,17.0
CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(O)cc3)cc2)CC1.Cl.Cl,33.6
Cc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCN(C(C)C)CC3)cc2)cc1.Cl.Cl,47.0
Cc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCNCC3)cc2)cc1.Cl.Cl,59.9
CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(O)c3)cc2)CC1.Cl.Cl,53.3
Cc1ccc(/C(=C(\CCCO)c2ccccc2)c2ccc(N3CCN(C)CC3)cc2)cc1.Cl.Cl,29.1
CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(Br)cc3)cc2)CC1.Cl.Cl,35.5
Cl.Cl.OCCC/C(=C(\c1ccc(Br)cc1)c1ccc(N2CCNCC2)cc1)c1ccccc1,45.0
CCN1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3ccc(C)cc3)cc2)CC1.Cl.Cl,22.4
