,Canonical_Smiles,Inhibition
434,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3ccc(N)nc3)ccc12,65.0
436,CCc1ccc(C2CC(c3ccc(CN4CC(C(=O)OC)C4)cc3)=NO2)cc1,95.0
438,Cc1c(N2CCN(Cc3cccc([N+](=O)[O-])c3)CC2)c(=O)n(C[C@H](N)c2ccccc2O)c(=O)n1Cc1c(F)cccc1C(F)(F)F,97.0
439,Cc1c(N2CCN(Cc3cccc(C(F)(F)F)c3)CC2)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1c(F)cccc1C(F)(F)F,96.0
441,CN1CCCC2(CC1)CC(=O)c1cc(/C=C/C(=O)NO)ccc1O2,12.0
442,CC1(C)CCC(C)(C)c2cc(C3(c4ccc(CCC(=O)O)cc4)SCCS3)ccc21,25.0
443,O=S(=O)(Nc1ncns1)c1cc(F)c(OCC2(F)CNCCC2c2ccc(F)cc2)cc1F,94.0
444,O=S(=O)(Nc1ncc(F)cn1)c1cc(F)c(OC[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1F,25.0
446,O=C(Nc1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1n[nH]c2ccccc12,48.0
447,O=C(/C=C/c1ccc2c(c1)C(=O)CC1(CCCN(CCc3ccccc3)CC1)O2)NO,41.0
450,CC(=O)N1c2ccccc2C[C@H]1COc1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,80.0
452,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCCC2)CC1,30.0
453,COCCn1cc(NC(=O)c2csc(-c3nncn3C(C)C)n2)cn1,30.0
455,CN1CCN(Cc2ccc(-c3cnc4[nH]nc(-c5cc(F)cc(NC(=O)Nc6cncnc6)c5)c4c3)cc2)CC1,76.4
462,COc1c(Nc2cc(C)[nH]n2)nc(Sc2ccc(S(=O)(=O)Cc3cccc([N+](=O)[O-])c3F)cc2F)nc1N1CCOCC1,62.9
463,CNC(=O)c1cnc2[nH]ccc2c1N[C@H]1CCN(Cc2ccc(C#N)nc2)[C@@H](C)C1,83.2
465,O=C(c1cccc(-c2n[nH]c3ncc(Cc4cc(F)ccc4F)cc23)c1)N1CCCC(O)C1,0.0
469,Cc1nc(-c2cc(C(F)(F)F)ccc2[C@@H]2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)co1,0.0
470,Cc1nc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4ccncn4)ccc32)co1,43.0
472,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4ccccc43)cc2N1C1CCCC1,44.0
473,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4cc(F)ccc43)cc2N1C1CC1,35.0
